timestamp,sorries,hours_remaining
2026-03-24T14:10:02+00:00,39,80
2026-03-24T15:05:01+00:00,41,65
2026-03-24T16:05:01+00:00,42,60
2026-03-24T17:42:22+00:00,42,55
2026-03-24T18:05:01+00:00,43,55
2026-03-24T19:17:26+00:00,44,55
2026-03-24T20:24:25+00:00,44,50
2026-03-24T21:05:01+00:00,77,45
2026-03-24T23:16:27+00:00,84,40
2026-03-25T00:21:44+00:00,44,30
2026-03-25T01:05:01+00:00,43,25
2026-03-25T02:28:28+00:00,41,22
2026-03-25T03:31:38+00:00,40,20
2026-03-25T04:22:55+00:00,40,19
2026-03-25T05:46:21+00:00,39,18
2026-03-25T06:30:06+00:00,37,17
2026-03-25T08:59:43+00:00,37,16
2026-03-25T10:11:29+00:00,37,16
2026-03-25T11:24:40+00:00,35,15
2026-03-25T12:45:12+00:00,35,16
2026-03-25T13:44:15+00:00,36,16
2026-03-25T16:23:54+00:00,35,16
2026-03-25T17:05:01+00:00,35,18
